Id,Label,timeset,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Degree,Weighted Degree,clustering,triangles
0.0,Gloomhaven,,0,2,0.907407,0.94898,6.141185,44,81,0.863636,817
1.0,Pandemic Legacy: Season 1,,0,2,0.875,0.928571,4.610026,42,65,0.888502,765
2.0,Through the Ages: A New Story of Civilization,,1,1,1,1,17.075264,49,78,0.776361,913
3.0,Terraforming Mars,,0,2,0.890909,0.938776,5.168071,43,70,0.875969,791
4.0,Twilight Struggle,,0,2,0.830508,0.897959,2.924933,39,53,0.91498,678
5.0,Star Wars: Rebellion,,1,2,0.960784,0.979592,9.764128,47,84,0.818686,885
6.0,Scythe,,1,2,0.907407,0.94898,10.809654,44,66,0.820296,776
7.0,Terra Mystica,,0,2,0.830508,0.897959,0.905742,39,68,0.962213,713
8.0,Great Western Trail,,0,2,0.859649,0.918367,3.401742,41,86,0.910976,747
9.0,The 7th Continent,,1,2,0.7,0.785714,4.569769,28,42,0.809524,306
10.0,Gaia Project,,0,2,0.875,0.928571,4.663633,42,73,0.888502,765
11.0,The Castle of Burgundy,,0,2,0.844828,0.908163,2.656124,40,77,0.928205,724
12.0,7 Wonders Duel,,0,2,0.844828,0.908163,3.191114,40,43,0.914103,713
13.0,War of the Ring (Second Edition),,0,2,0.720588,0.806122,5.638226,30,39,0.770115,335
14.0,Caverna: The Cave Farmers,,0,2,0.830508,0.897959,1.08275,39,63,0.958165,710
15.0,Puerto Rico,,0,2,0.830508,0.897959,2.067918,39,64,0.935223,693
16.0,Agricola,,0,2,0.844828,0.908163,1.875083,40,68,0.937179,731
17.0,Mage Knight Board Game,,1,2,0.942308,0.969388,9.078471,46,73,0.82029,849
18.0,Viticulture Essential Edition,,0,2,0.830508,0.897959,1.856416,39,51,0.940621,697
19.0,Arkham Horror: The Card Game,,1,2,0.7,0.785714,3.975943,28,44,0.830688,314
20.0,Mansions of Madness: Second Edition,,1,2,0.7,0.785714,2.514355,28,40,0.854497,323
21.0,Concordia,,0,2,0.803279,0.877551,0.597876,37,50,0.972973,648
22.0,Blood Rage,,1,2,0.960784,0.979592,9.764128,47,82,0.818686,885
23.0,Mechs vs. Minions,,1,2,0.960784,0.979592,9.764128,47,78,0.818686,885
24.0,Star Wars: Imperial Assault,,1,2,0.765625,0.846939,4.848715,34,51,0.821747,461
25.0,Orléans,,0,2,0.859649,0.918367,3.215643,41,76,0.914634,750
26.0,Through the Ages: A Story of Civilization,,0,2,0.859649,0.918367,4.736885,41,77,0.897561,736
27.0,Food Chain Magnate,,1,2,0.907407,0.94898,7.996092,44,66,0.832981,788
28.0,Power Grid,,0,2,0.844828,0.908163,1.872016,40,67,0.938462,732
29.0,Twilight Imperium: Fourth Edition,,1,2,0.907407,0.94898,9.908768,44,60,0.839323,794
30.0,A Feast for Odin,,0,2,0.859649,0.918367,2.501817,41,69,0.921951,756
31.0,Eclipse,,1,2,0.907407,0.94898,7.029033,44,69,0.849894,804
32.0,Pandemic Legacy: Season 2,,1,2,0.960784,0.979592,16.239632,47,85,0.770583,833
33.0,Kingdom Death: Monster,,1,2,0.620253,0.693878,1.022516,19,21,0.853801,146
34.0,Brass: Lancashire,,1,2,0.98,0.989796,14.768313,48,77,0.79344,895
35.0,Robinson Crusoe: Adventures on the Cursed Island,,1,2,0.742424,0.826531,6.25831,32,48,0.798387,396
36.0,Le Havre,,0,2,0.844828,0.908163,1.875083,40,71,0.937179,731
37.0,Tzolk'in: The Mayan Calendar,,0,2,0.844828,0.908163,3.313601,40,66,0.908974,709
38.0,Android: Netrunner,,1,2,0.653333,0.734694,2.433579,23,28,0.84585,214
39.0,The Voyages of Marco Polo,,0,2,0.875,0.928571,4.49544,42,79,0.891986,768
40.0,Azul,,0,2,0.604938,0.673469,0.078788,17,17,0.985294,134
41.0,7 Wonders,,0,2,0.816667,0.887755,2.091447,38,41,0.941679,662
42.0,Keyflower,,0,2,0.890909,0.938776,6.289833,43,69,0.866002,782
43.0,Spirit Island,,0,2,0.924528,0.959184,6.178775,45,64,0.856566,848
44.0,Codenames,,1,2,0.563218,0.612245,0.063256,11,11,0.963636,53
45.0,Caylus,,0,2,0.844828,0.908163,3.234247,40,70,0.914103,713
46.0,Eldritch Horror,,1,2,0.680556,0.765306,3.216837,26,35,0.843077,274
47.0,T.I.M.E Stories,,0,2,0.816667,0.887755,7.40056,38,49,0.803698,565
48.0,Race for the Galaxy,,0,2,0.844828,0.908163,3.542518,40,75,0.90641,707
49.0,Twilight Imperium: (Third Edition),,1,2,0.98,0.989796,14.291615,48,73,0.795213,897
